Brand Name,Generic Name,Number of Manufacturers,Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Change in Average Spending Per Dosage Unit (2017-2018)
1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,"$167,193.78","761,658","6,538","2,341",$0.22,$25.57,$71.42,0,1.70%
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,"$369,416.83","1,814,008","14,932","5,675",$0.20,$24.74,$65.10,0,-6.30%
Abacavir,Abacavir Sulfate,9,"$14,479,715.39","3,972,983","54,467","7,359",$4.04,$265.84,"$1,967.62",0,-5.83%
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,5,"$24,587,440.48","2,225,584","70,494","8,684",$11.06,$348.79,"$2,831.35",1,-45.84%
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,1,"$6,955,321.12","330,735","5,298",710,$21.03,"$1,312.82","$9,796.23",0,-3.04%
Abelcet,Amphotericin B Lipid Complex,1,"$766,166.41","101,857",620,205,$7.52,"$1,235.75","$3,737.40",0,-23.76%
Abilify Maintena,Aripiprazole,1,"$345,985,509.08","165,496","164,803","22,941","$2,090.80","$2,099.39","$15,081.54",0,10.22%
Abilify*,Aripiprazole,1,"$31,075,271.98","950,672","25,664","4,693",$32.84,"$1,210.85","$6,621.62",0,0.37%
Abiraterone Acetate,Abiraterone Acetate,5,"$26,623,436.37","435,123","3,624","3,328",$61.15,"$7,346.42","$7,999.83",0, 
Abraxane,Paclitaxel Protein-Bound,1,"$5,675,297.99","4,441",828,236,"$1,277.93","$6,854.22","$24,047.87",0,3.00%
Absorica,Isotretinoin,1,"$317,230.79","8,970",180,78,$35.32,"$1,762.39","$4,067.06",0,6.71%
Abstral,Fentanyl Citrate,1,"$4,608,261.68","48,930",406,44,$91.21,"$11,350.40","$104,733.22",0,4.94%
Acamprosate Calcium,Acamprosate Calcium,8,"$5,304,532.47","5,572,544","34,879","10,709",$0.95,$152.08,$495.33,0,-4.33%
